loss,delta_loss,lr,grad_norm,update_ratio,optimizer
2.3056232929229736,0.0,0.005,0.368547842201278,0.0002065279059724437,sgd
2.3004236221313477,-0.0051996707916259766,0.005,0.34805625883577546,0.00019504488974959224,sgd
2.302391767501831,0.0019681453704833984,0.005,0.4167793798729108,0.00023355624149396447,sgd
2.3046679496765137,0.002276182174682617,0.005,0.35704824377093203,0.00020008392746186413,sgd
2.3074584007263184,0.0027904510498046875,0.005,0.4418661446423525,0.0002476146205296662,sgd
2.308462381362915,0.0010039806365966797,0.005,0.46154284697611686,0.00025864120327353146,sgd
2.303819417953491,-0.004642963409423828,0.005,0.4815631508420325,0.00026986025514720986,sgd
2.3030807971954346,-0.0007386207580566406,0.005,0.42013592428164376,0.00023543731717772307,sgd
2.303992748260498,0.0009119510650634766,0.005,0.47099645290666614,0.00026393882040180115,sgd
2.305516481399536,0.001523733139038086,0.005,0.4233884319596884,0.00023726020632506848,sgd
2.3070228099823,0.0015063285827636719,0.005,0.42335513104676326,0.00023724140500718544,sgd
2.3069815635681152,-4.124641418457031e-05,0.005,0.4540282217062859,0.00025443016952390407,sgd
2.306759834289551,-0.00022172927856445312,0.005,0.473927180969467,0.00026558110441343984,sgd
2.2975704669952393,-0.009189367294311523,0.005,0.3830942906844245,0.00021467976149415515,sgd
2.303129196166992,0.00555872917175293,0.005,0.4217419951087315,0.000236337263986984,sgd
2.3008480072021484,-0.00228118896484375,0.005,0.5259506284689618,0.0002947339575984609,sgd
2.301231622695923,0.00038361549377441406,0.005,0.40713631904720243,0.0002281524589324933,sgd
2.3001914024353027,-0.0010402202606201172,0.005,0.407492462622575,0.0002283518841109494,sgd
2.304161787033081,0.00397038459777832,0.005,0.5073400757921188,0.0002843044169748653,sgd
2.3046653270721436,0.0005035400390625,0.005,0.4240693177344909,0.00023764075607872533,sgd
2.299194812774658,-0.0054705142974853516,0.005,0.3436476587881763,0.00019257389570345607,sgd
